TestCase,Algorithm,Valid,MaxRouteLength,TotalCost,TimeMs,Error,Stderr
test_100_100_10_1.csv,dijkstra,False,,,87.67,Not all passengers served,
test_100_100_10_1.csv,greedy,False,,,412.47,Passenger 91 not direct in taxi 1,
test_100_100_10_1.csv,hill_climbing,False,,,201.36,Not all parcels served,
test_100_100_10_1.csv,metaheuristic,True,198,1942,4844.35,,
test_120_120_12_2.csv,dijkstra,False,,,98.71,Not all passengers served,
test_120_120_12_2.csv,greedy,False,,,543.69,Passenger 69 not direct in taxi 1,
test_120_120_12_2.csv,hill_climbing,False,,,238.59,Not all parcels served,
test_120_120_12_2.csv,metaheuristic,True,219,2552,5495.02,,
test_150_130_15_3.csv,dijkstra,False,,,118.55,Not all passengers served,
test_150_130_15_3.csv,greedy,False,,,725.68,Passenger 112 not direct in taxi 1,
test_150_130_15_3.csv,hill_climbing,False,,,288.21,Not all parcels served,
test_150_130_15_3.csv,metaheuristic,True,216,3149,7096.39,,
test_180_160_18_4.csv,dijkstra,False,,,172.29,Not all passengers served,
test_180_160_18_4.csv,greedy,False,,,1161.39,Passenger 13 not direct in taxi 1,
test_180_160_18_4.csv,hill_climbing,False,,,376.25,Not all parcels served,
test_180_160_18_4.csv,metaheuristic,True,200,3448,11807.56,,
test_200_200_20_5.csv,dijkstra,False,,,216.28,Not all passengers served,
test_200_200_20_5.csv,greedy,False,,,1429.75,Passenger 129 not direct in taxi 1,
test_200_200_20_5.csv,hill_climbing,False,,,439.54,Not all parcels served,
test_200_200_20_5.csv,metaheuristic,True,205,3987,16646.02,,
test_250_220_25_6.csv,dijkstra,False,,,292.43,Not all passengers served,
test_250_220_25_6.csv,greedy,False,,,1831.70,Passenger 104 not direct in taxi 1,
test_250_220_25_6.csv,hill_climbing,False,,,582.33,Not all parcels served,
test_250_220_25_6.csv,metaheuristic,True,193,4700,21949.80,,
test_300_250_30_7.csv,dijkstra,False,,,374.83,Not all passengers served,
test_300_250_30_7.csv,greedy,False,,,2482.02,Passenger 100 not direct in taxi 1,
test_300_250_30_7.csv,hill_climbing,False,,,689.30,Not all parcels served,
test_300_250_30_7.csv,metaheuristic,True,232,5774,26870.87,,
test_350_300_35_8.csv,dijkstra,False,,,507.38,Not all passengers served,
test_350_300_35_8.csv,greedy,False,,,3873.99,Passenger 1 not direct in taxi 1,
test_350_300_35_8.csv,hill_climbing,False,,,908.04,Not all parcels served,
test_350_300_35_8.csv,metaheuristic,True,188,6404,41106.36,,
test_400_350_40_9.csv,dijkstra,False,,,776.88,Not all passengers served,
test_400_350_40_9.csv,greedy,False,,,4800.35,Passenger 5 not direct in taxi 1,
test_400_350_40_9.csv,hill_climbing,False,,,1376.68,Not all parcels served,
test_400_350_40_9.csv,metaheuristic,True,193,7478,46829.66,,
test_500_500_50_10.csv,dijkstra,False,,,1096.24,Not all passengers served,
test_500_500_50_10.csv,greedy,False,,,8928.88,Passenger 69 not direct in taxi 1,
test_500_500_50_10.csv,hill_climbing,False,,,1814.09,Not all parcels served,
test_500_500_50_10.csv,metaheuristic,True,186,9145,110118.33,,
